FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,GlobalID
93,1289,Glades,Florida,12,043,12043,13588,13.8,12884,13.1,9153,1588,589,51,2,2720,1280,221,7443,5441,718,645,661,687,718,1674,1662,1669,1683,1728,853,186,43.1,41.4,45.8,4533,2.52,641,528,738,1620,148,283,3039,2.96,6979,2446,3524,1009,331,1338,56473,321806,986.29,2.20648196135,0.234095109007,3254523803.07617,257776.646627096,6de01207-af0e-4d77-bdbc-7c809b24784f
94,1290,Gulf,Florida,12,045,12045,16377,28.2,15863,27.3,12384,2962,63,46,4,678,119,285,9484,6379,649,649,808,752,926,2360,2366,2573,2193,1506,837,244,42.7,40.5,46.8,5335,2.33,723,805,898,1770,174,353,3529,2.83,9110,3775,3988,1347,34,135,544,27149,580.75,2.11269394011,0.137560302328,1967509839.53711,256928.782277892,9df7e206-3d21-4475-9bea-66a3a1af7041
95,1291,Hamilton,Florida,12,047,12047,14344,27.6,14799,28.5,8851,5102,93,76,0,1306,420,257,8721,6078,776,781,822,971,1519,1962,1914,2178,1930,1181,579,186,38,35.2,42.5,4617,2.54,598,626,811,1343,142,499,3186,3.05,5778,1161,3434,1183,292,246,28351,155770,519.31,1.79751931259,0.121021983298,1740513724.66797,210337.302531422,8e8e6026-db22-46e5-974d-db13ccd61847
96,1292,Hardee,Florida,12,049,12049,28518,44.7,27731,43.4,20013,1936,172,298,12,11895,4754,546,14868,12863,2227,2173,2041,2178,2202,3770,3462,3354,2749,2071,1118,386,32.8,31.6,34.2,8245,3.12,775,809,2133,2260,377,829,6172,3.52,9722,1477,5733,2512,982,279,51767,222378,638.32,1.60621211778,0.150813190933,2106768047.53516,187566.451498437,06e046f0-c792-4693-aa0e-a8dc4205484b
97,1293,Hendry,Florida,12,051,12051,39553,33.2,39140,32.9,23436,5261,672,279,24,19243,8421,1047,21198,17942,3131,2965,2863,3188,3004,5576,5266,5008,3648,2608,1409,474,32.8,32.4,33.4,12025,3.09,1272,1057,3098,2948,657,1354,8862,3.48,14564,2539,8324,3701,406,1221,262438,1231346,1189.65,2.7488019801,0.278898690319,3863694883.24609,324826.238362537,102494f9-d1fa-40d1-8bee-cf1d36f01f20
98,1294,Hernando,Florida,12,053,12053,182273,372.6,172778,353.2,154598,8816,613,1859,74,17796,3318,3500,82534,90244,8504,9240,10095,9957,7823,15359,19093,23713,24471,23233,15780,5510,47.7,46.6,48.7,71745,2.38,7345,10890,11356,26635,1804,5039,49313,2.82,84504,12759,57774,13971,799,78,15457,35491,489.18,1.66816062943,0.1174749465,1657306809.12305,193359.534627097,94f96e74-e281-4252-b608-cae50c8d6040
99,1295,Highlands,Florida,12,055,12055,102012,92.2,98786,89.3,79972,9263,471,1439,45,17157,5401,2195,48273,50513,4988,4858,4957,5211,4451,8612,8856,11709,13322,16367,11294,4161,51.5,49.7,53.2,42604,2.28,4963,7187,5501,16626,983,2668,28027,2.74,55386,12782,32830,9774,969,506,84007,282121,1106.38,2.43975243929,0.2605938775,3635470659.47266,287870.113283095,54d191b4-360b-4f8c-b123-0b88d5f7c610
100,1296,Hillsborough,Florida,12,057,12057,1382695,1288.1,1229226,1145.1,876137,205073,4779,42076,925,306635,61554,38682,599084,630142,80459,79737,82835,88167,91853,173877,174342,178058,134661,79772,46900,18565,36,35.1,37,474030,2.55,58180,70370,95631,114110,14457,46780,304864,3.11,536092,62062,288819,185211,2466,87,75764,153316,1073.47,2.54575982371,0.252255473505,3538111413.22266,300888.363923018,ccdb9591-e349-4b24-9524-85602c087243
101,1297,Holmes,Florida,12,059,12059,19865,40.6,19927,40.8,18043,1147,160,87,27,444,74,389,10594,9333,1136,1130,1186,1310,1280,2346,2587,2896,2631,2021,1063,341,41.3,39.2,43.8,7354,2.47,909,1025,1480,2383,235,564,5102,2.96,8641,1287,5710,1644,801,132,34417,36105,488.76,1.65936662213,0.119117168619,1719764686.05273,196141.097077729,8fc2d06f-9fae-445e-8339-a710ca21b8c0
102,1298,Indian River,Florida,12,061,12061,149718,290.1,138028,267.5,116346,12397,408,1666,51,15465,4909,2251,66748,71280,6508,7024,7463,8012,6037,12455,14215,18977,19833,18036,13790,5678,49,47.1,50.6,60176,2.26,6935,10974,8912,21541,1344,3716,38682,2.77,76346,16170,45026,15150,461,352,54783,314418,516.03,1.48903222699,0.115843937275,1621290160.13477,173478.224162404,9f3510d3-7f75-43eb-bd84-8d930138d20c
